industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Technology Consulting,326636.0,1959816.0,2019-01-01,Product_1,100 - 500 Million,Category 3,India,Brahmapur,gaytri bai,CEO,"Editor, commissioning",Others,Level 2,more than a month,"Dyson,William A",Yes,5,62.7
Other,64710.0,423850.5,2019-01-01,Product_1,50 - 100 Million,Category 4,India,Kavaratti,kamini,SVP/General Counsel,Community development worker,Marketing Event,Level 2,No track,"Massiah,Gerard F",Yes,5,61.7
Hospitals/Clinics,170420.0,1073646.0,2019-01-01,Product_1,500 Million - 1 Billion,Category 1,India,Muzaffarpur,puja,SVP/General Counsel,Hydrologist,Others,Level 2,No track,"Sutton,Michelle R",No,3,107.34
Banks,480392.0,2906371.6,2019-01-01,Product_1,500 Million - 1 Billion,Category 3,India,Kavaratti,poonam,CEO,Office manager,Others,Level 3,More than a week back,"Van Arter,Derrick",No,1,61.5
Banks,261734.0,1583490.7,2019-01-01,Product_1,50 - 100 Million,Category 3,India,Mahabubnagar,alisha loomba,CEO,Manufacturing engineer,Marketing Event,Level 1,No track,"Charles,Caleb",No,5,26.35
Banks,29171.0,166274.7,2019-01-01,Product_2,500 Million - 1 Billion,Category 3,,"Birmingham-Hoover, AL",Angel Gonzalez,CEO,Chartered accountant,Contact Email,Level 1,?,"Pappas,Mark S",Yes,2,59.8
Networking/Comm.,40226.0,235322.1,2019-01-01,Product_2,500 Million - 1 Billion,Category 3,India,Bhavnagar,zainab,SVP/General Counsel,"Production assistant, television",Others,Level 3,No track,"Mabrey,Kevin C",Yes,1,107.34
Insurance,382697.0,2391856.25,2019-01-01,Product_2,100 - 500 Million,Category 2,India,Bijapur,rani,CEO,"Teacher, early years/pre",Contact Email,Level 3,Up-to-date,"Knox,Antonio D",No,4,63.5
Education/Training,316322.0,,2019-01-01,Product_1,50 - 100 Million,Category 3,USA,"Denver-Aurora-Lakewood, CO",William Middleton,CEO,Personnel officer,Contact Email,Level 2,,"Kiepea,Prince A",No,5,67.9
Banks,215743.0,1348393.75,2019-01-01,Product_2,50 - 100 Million,Category 4,USA,"Hammond, LA",Shelly Gibson,CEO,Social researcher,Contact Email,Level 2,?,"Smith,Keenan H",Yes,1,107.34
Information Services,355181.0,2326435.55,2019-01-02,Product_1,100 - 500 Million,Category 1,India,Bharauri,smt sharshwati kanwar,SVP/General Counsel,"Editor, commissioning",Others,Level 3,2 days back,"Young,Valerie K",No,3,66.3
Airlines/Air Couriers,35907.0,231600.15,2019-01-02,Product_2,500 Million - 1 Billion,Category 3,USA,"Fort Wayne, IN",Richard Morgan,SVP/General Counsel,Forensic psychologist,Website,Level 2,?,"Jones,Michael L",No,5,70.4
Beverages (Alcoholic),441361.0,2604029.9,2019-01-02,Product_2,500 Million - 1 Billion,Category 3,USA,"Bakersfield, CA",Randall Hill,CEO,"Sound technician, broadcasting/film/video",Contact Email,Level 1,More than a week back,"Leu,Darren L",Yes,2,62.8
Other Biz Services,97545.0,585270.0,2019-01-02,Product_1,100 - 500 Million,Category 1,USA,"Sierra Vista-Douglas, AZ",Joshua Jackson,CEO,Arboriculturist,Others,Level 1,5 days back,"Kiepea,Prince A",No,2,65.7
Financial Services,441442.0,2935589.3,2019-01-03,Product_1,100 - 500 Million,Category 2,USA,"San Francisco-Oakland-Hayward, CA",Joseph Morales,SVP/General Counsel,"Conservator, furniture",Marketing Event,Level 3,?,"Murray,Younetta",No,3,26.35
Financial Services,202324.0,1224060.2,2019-01-03,Product_2,50 - 100 Million,Category 4,USA,"Salinas, CA",Linda Ruiz,CEO,"Teacher, adult education",Others,Level 2,more than a month,"Green,Ann E",Yes,2,63.400000000000006
Investment Bank/Brokerage,479979.0,3071865.6,2019-01-03,Product_1,100 - 500 Million,Category 4,India,Jodhpur,anita,CEO,Clinical biochemist,Marketing Event,Level 2,more than a month,"Cashin,Marc C",No,1,58.900000000000006
Banks,375559.0,2384799.65,2019-01-03,Product_1,50 - 100 Million,Category 3,,Saidapur,renu,CEO,Travel agency manager,Website,Level 3,more than a month,"Turner,Marlon D",,3,26.35
